Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-May-2017,20.20,22.40,18.95,20.05,20.528445603391660315,20693110,25373,424797383.00,4003801,19.35,3.45,-0.15
29-May-2017,25.65,25.65,19.70,20.50,21.377642263721120360,18626358,26206,398187618.00,5253153,28.20,5.95,-5.15
26-May-2017,26.05,26.25,25.40,25.80,25.937449947235469530,2719630,4150,70540267.00,1173739,43.16,0.85,-0.25
25-May-2017,26.00,26.55,25.15,25.95,25.890709122484975537,3981174,5351,103075418.00,979404,24.60,1.40,-0.05
24-May-2017,28.00,28.20,25.30,25.85,26.424041418862599126,8208434,11269,216900000.00,2009100,24.48,2.90,-2.15
23-May-2017,29.60,29.70,27.25,28.00,28.194832905135527048,4707326,7245,132722270.00,1094368,23.25,2.45,-1.60
22-May-2017,30.65,30.80,29.70,29.80,30.081338398459193439,2031144,3145,61099530.00,691335,34.04,1.10,-0.85
19-May-2017,31.20,31.45,30.30,30.60,30.729041591668499806,2491172,2884,76551328.00,1210075,48.57,1.15,-0.60
18-May-2017,31.70,31.90,31.00,31.10,31.325516246355466049,1663450,2382,52108430.00,639585,38.45,0.90,-0.60
17-May-2017,32.10,32.25,31.70,31.95,31.950376074849678409,969089,1351,30962758.00,217316,22.42,0.55,-0.15
16-May-2017,32.05,32.35,31.85,32.10,32.125583548560011695,1231260,1389,39554946.00,362769,29.46,0.50,0.05
15-May-2017,32.50,32.60,31.70,32.00,31.999347860046400166,1465943,1969,46909220.00,406861,27.75,0.90,-0.50
12-May-2017,33.00,33.10,32.25,32.40,32.606847343999391713,1551901,2148,50602599.00,516428,33.28,0.85,-0.60
11-May-2017,33.30,33.30,32.70,32.95,32.964731473723037036,1876092,2543,61844869.00,498857,26.59,0.60,-0.35
10-May-2017,32.50,33.85,32.35,33.05,33.039383904105881474,3510038,4662,115969493.00,918544,26.17,1.50,0.55
9-May-2017,32.55,32.65,31.70,32.45,32.222673163048481794,1787867,2497,57609854.00,395440,22.12,0.95,-0.10
8-May-2017,31.40,33.05,31.20,32.45,32.142644749717441269,3032113,4607,97460131.00,665819,21.96,1.85,1.05
5-May-2017,32.10,32.25,31.00,31.20,31.488453796311008770,2278238,4081,71738192.00,766724,33.65,1.25,-0.90
4-May-2017,33.00,33.15,31.95,32.10,32.550905244806564775,1785042,3518,58104733.00,723420,40.53,1.20,-0.90
3-May-2017,33.65,34.05,32.80,33.00,33.340975169278366987,1652308,2833,55089560.00,637865,38.60,1.25,-0.65
2-May-2017,34.60,34.60,33.60,33.65,33.935979536975622469,1795629,2422,60936429.00,563809,31.40,1.00,-0.95
28-April-2017,34.65,35.20,34.35,34.50,34.752869406479727663,1762821,2566,61263088.00,435909,24.73,0.85,-0.15
27-April-2017,34.35,35.00,33.85,34.70,34.358734580772932919,2023772,3059,69534245.00,443188,21.90,1.15,0.35
26-April-2017,34.50,34.85,33.80,34.25,34.399519025017509118,1497791,2453,51523290.00,295479,19.73,1.05,-0.25
25-April-2017,35.00,35.30,34.30,34.40,34.739729650788148036,1776887,2705,61728574.00,478604,26.93,1.00,-0.60
24-April-2017,34.10,34.80,33.80,34.30,34.342304507180284527,1863227,3282,63987509.00,483150,25.93,1.00,0.20
21-April-2017,34.00,34.45,33.70,33.90,34.010346232933810044,1187582,2384,40390075.00,278475,23.45,0.75,-0.10
20-April-2017,33.65,34.15,33.55,33.75,33.779925695119587579,1284707,2040,43397307.00,340374,26.49,0.60,0.10
19-April-2017,34.40,34.40,33.50,33.65,33.793375843646153787,1572638,2322,53144747.00,667095,42.42,0.90,-0.75
18-April-2017,34.20,35.30,33.95,34.10,34.590741109424383445,2089516,3645,72277907.00,622003,29.77,1.35,-0.10
17-April-2017,35.80,36.00,33.90,34.10,34.673008232447319208,2692395,4705,93353434.00,1168941,43.42,2.10,-1.70
13-April-2017,36.55,36.80,35.55,35.70,36.138980699504775380,1447424,2653,52308428.00,419523,28.98,1.25,-0.85
12-April-2017,37.70,37.90,36.40,36.75,36.938906103395505362,1634926,2671,60392378.00,454625,27.81,1.50,-0.95
11-April-2017,37.50,38.15,37.35,37.60,37.692087714909291672,927368,1947,34954436.00,240935,25.98,0.80,0.10
10-April-2017,39.05,39.20,37.30,37.50,37.919889443027103934,2265981,3917,85925749.00,766019,33.81,1.90,-1.55
7-April-2017,40.15,40.80,39.00,39.20,39.932178609043648957,2844604,5188,113591235.00,506436,17.80,1.80,-0.95
6-April-2017,40.90,41.00,39.80,40.15,40.202013487540188781,1648781,6360,66284316.00,476510,28.90,1.20,-0.75
